,product_category,product_price,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
1072,Home/Electronics/Electronics Accessories/,3990000,47,72,25,0,34.72,0.0,0.0,34.5,2615.0
1073,Home/Electronics/Electronics Accessories/,4990000,412,582,118,0,20.27,0.0,0.0,123.06,1007.43
1074,Home/Electronics/Electronics Accessories/,5590000,48,70,28,0,40.0,0.0,0.0,-373.25,789.0
1075,Home/Electronics/Electronics Accessories/,6990000,393,517,56,0,10.83,0.0,0.0,117.65,475.0
1076,Home/Electronics/Electronics Accessories/,7190000,15,16,10,0,62.5,0.0,0.0,3.5,360.5
1077,Home/Electronics/Electronics Accessories/,8990000,132,157,32,0,20.38,0.0,0.0,44.05,1442.0
1078,Home/Electronics/Electronics Accessories/,78390000,13,14,1,0,7.14,0.0,0.0,8.0,
1079,Home/Electronics/Electronics Accessories/,97990000,173,206,3,0,1.46,0.0,0.0,76.5,
1080,Home/Electronics/Flashlights/,3990000,25,29,8,0,27.59,0.0,0.0,490.5,
1081,Home/Electronics/Flashlights/,4990000,192,286,52,0,18.18,0.0,0.0,39.28,609.0
1082,Home/Electronics/Flashlights/,10390000,18,22,3,0,13.64,0.0,0.0,,
1083,Home/Electronics/Flashlights/,12990000,184,215,16,0,7.44,0.0,0.0,17.33,
1084,Home/Electronics/Flashlights/,13590000,23,28,3,0,10.71,0.0,0.0,41.5,170.0
1085,Home/Electronics/Flashlights/,16990000,192,303,39,0,12.87,0.0,0.0,188.07,2085.0
1086,Home/Electronics/Flashlights/,18390000,27,37,3,0,8.11,0.0,0.0,35.5,101.0
1087,Home/Electronics/Flashlights/,22990000,254,353,23,0,6.52,0.0,0.0,112.85,1653.0
1088,Home/Electronics/Flashlights/,47990000,25,28,1,0,3.57,0.0,0.0,42.33,215.0
1089,Home/Electronics/Flashlights/,59990000,281,372,11,0,2.96,0.0,0.0,28.29,
1090,Home/Electronics/Power/,13590000,39,52,8,0,15.38,0.0,0.0,110.83,1113.0
